year,make,model,body_styles,trim_data,image_sources
2005,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '265 @ 5800 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Seating': 'Seats 7', 'Combined Fuel Economy': '17 MPG'}, 'Touring Sport Utility 4D': {'Horsepower': '265 @ 5800 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-MDX-FrontSide_ATMDX051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Acura,NSX,['Coupe'],"{'Coupe': {'Targa Open Top Coupe 2D': {'Horsepower': '290 @ 7100 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-NSX-FrontSide_ACNSX051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Acura,RL,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '300 @ 6200 rpm HP', 'Engine': 'V6, 3.5 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-RL-FrontSide_ACRL-051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Acura,RSX,['Coupe'],"{'Coupe': {'Type S Sport Coupe 2D': {'Horsepower': '210 @ 7800 rpm HP', 'Engine': '4-Cyl, HO VTEC, 2.0L', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}, 'Sport Coupe 2D': {'Horsepower': '160 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, 2.0 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 4'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-RSX-FrontSide_ACRSX051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Acura,TL,['Sedan'],"{'Sedan': {'3.2 Sedan 4D': {'Horsepower': '270 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-TL-FrontSide_ACTL-051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Acura,TSX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '200 @ 6800 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Acura-TSX-FrontSide_ACTSX051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Aston Martin,DB9,"['Convertible', 'Coupe']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '450 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '450 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 0'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Aston%20Martin-DB9-FrontSide_ARDB9CNV051_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Aston%20Martin-DB9-FrontSide_ARDB9CPE051_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2005,Aston Martin,Vanquish S,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '520 @ 7000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Aston%20Martin-Vanquish%20S-FrontSide_ARVANQ051_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2005,Audi,A4,"['Convertible', 'Wagon', 'Sedan']","{'Sedan': {'1.8T Sedan 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '1.8T Quattro Sedan 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.0 Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '3.0 Quattro Sedan 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'3.0 Avant Quattro Wagon 4D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '1.8T Avant Quattro Wagon 4D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'3.0 Cabriolet 2D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '1.8T Cabriolet 2D': {'Horsepower': '170 @ 5900 rpm HP', 'Engine': '4-Cyl, Turbo, 1.8 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '3.0 Quattro Cabriolet 2D': {'Horsepower': '220 @ 6300 rpm HP', 'Engine': 'V6, 3.0 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Audi-A4-FrontSide_AUA4SED051_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Audi-A4-FrontSide_AUA4WAG042_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Audi-A4-FrontSide_AUA4CAB051_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2005,Audi,A4 (2005.5),"['Sedan', 'Wagon']","{'Sedan': {'2.0T Quattro Sedan 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '3.2 Sedan 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '2.0T Sedan 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'2.0T Avant Quattro Wagon 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '3.2 Avant Quattro Wagon 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Audi-A4%20(2005.5)-FrontSide_AUA4SED5051_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2005/2005-Audi-A4%20(2005.5)-FrontSide_AUA4WAG5051_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
