year,make,model,body_styles,trim_data,image_sources
2010,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '300 @ 6300 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-MDX-FrontSide_ATMDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '240 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.3 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-RDX-FrontSide_ATRDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,RL,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '300 @ 6300 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-RL-FrontSide_ACRL101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,TL,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-TL-FrontSide_ACTL101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,TSX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '201 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-TSX-FrontSide_ACTSX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Acura,ZDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '300 @ 6300 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Acura-ZDX-FrontSide_ATZDX101_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2010,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '470 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '470 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DB9-FrontSide_ARDB9R101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DB9-FrontSide_ARDB9101_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2010,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DBS-FrontSide_ARDBSR101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-DBS-FrontSide_ARDBS101_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2010,Aston Martin,Rapide,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '470 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-Rapide-FrontSide_ARRAP101_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2010,Aston Martin,Vantage,"['Coupe', 'Convertible']","{'Convertible': {'N420 Roadster 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}, 'Roadster 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'N420 Coupe 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}, 'Coupe 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2010/2010-Aston%20Martin-Vantage-FrontSide_ARVANR101_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/6677/2010-Aston%20Martin-Vantage-front-angle3_6677_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
