year,make,model,body_styles,trims,image_sources
2019,Acura,ILX,['Sedan'],"{'Sedan': {'Base w/Technology & A-SPEC Pkgs': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}, 'Base Style': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}, 'Base w/Premium & A-SPEC Pkgs': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}, 'Base w/Premium Pkg': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}, 'Base w/Technology Pkg': {'Horsepower': '201 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13221/2019-Acura-ILX-360SpinFrame_13221_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,MDX,['SUV'],"{'SUV': {'SH-AWD w/Advance & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base w/Technology & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology & A-Spec Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base w/Advance & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'Base w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'Base Style': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'Base w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-MDX-FrontSide_ATMDX1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,MDX Sport Hybrid,['SUV'],"{'SUV': {'SH-AWD w/Advance Pkg': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 6'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '257 @ 6300 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-MDX%20Sport%20Hybrid-FrontSide_ATMDXSH1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,NSX,['Coupe'],"{'Coupe': {'SH-AWD': {'Horsepower': '500 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, Twin Turbo, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11810/2019-Acura-NSX-360SpinFrame_11810_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,RDX,['SUV'],"{'SUV': {'Base Style': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Base w/A-SPEC Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Base w/Technology Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Base w/Advance Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-RDX-FrontSide_ATRDX1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,RLX,['Sedan'],"{'Sedan': {'Base Style': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12480/2019-Acura-RLX-360SpinFrame_12480_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12568/2019-Acura-RLX%20Sport%20Hybrid-360SpinFrame_12568_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,TLX,['Sedan'],"{'Sedan': {'3.5 w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '3.5': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg & A-SPEC Pkg': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '26 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg & A-SPEC Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '2.4': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12057/2019-Acura-TLX-360SpinFrame_12057_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Alfa Romeo,4C Spider,['Convertible'],"{'Convertible': {'Base Style': {'Horsepower': '237 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CS1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Alfa Romeo,Giulia,['Sedan'],"{'Sedan': {'Ti Sport Carbon': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Quadrifoglio': {'Horsepower': '505 @ 6500 rpm HP', 'Engine': 'V6, Twin Turbo, 2.9 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'Ti': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Ti Sport': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Ti Lusso': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Base Style': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, 'Sport': {'Horsepower': '280 @ 5200 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12453/2019-Alfa%20Romeo-Giulia-360SpinFrame_12453_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
