year,make,model,body_style(s),image_source(s)
2000,Acura,Integra,"['Sedan', 'Hatchback']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-Integra-Side_ACINSED003_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-Integra-FrontSide_ACINCPE004_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2000,Acura,NSX,"['Coupe', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-NSX-FrontSide_ACNSXT005_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-NSX-FrontSide_ACNSX001_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-RL-FrontSide_ACRL-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Acura-TL-FrontSide_ACTL-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,Audi,A4,"['Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-A4-FrontSide_AUA4SED001_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-A4-RearSide_AUA4WAG00C_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-A6-FrontSide_AUA6SED001_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-A6-Side_AUA6WAG005_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-A8-Side_AUA8-002_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,Audi,S4,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-S4-FrontSide_AUS4-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,Audi,TT,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-Audi-TT-FrontSide_AUTT-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,BMW,3 Series,"['Sedan', 'Wagon', 'Convertible', 'Coupe']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-3%20Series-FrontSide_BM323SED001_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-3%20Series-FrontSide_BM323WAG003_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-3%20Series-FrontSide_BM323CONV009_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-3%20Series-FrontSide_BM323CPE006_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,BMW,5 Series,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-5%20Series-FrontSide_BM528SED001_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-5%20Series-RearSide_BM528WAG006_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,BMW,7 Series,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-7%20Series-FrontSide_BM740IL003_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,BMW,M,"['Hatchback', 'Convertible']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-M-FrontSide_BMMZ3RDSTR005_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-M-FrontSide_BMMZ3CPE001_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,BMW,M5,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-M5-FrontSide_BMM5-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,BMW,X5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-X5-FrontSide_BTX5-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2000,BMW,Z3,"['Convertible', 'Hatchback']","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-Z3-FrontSide_BMZ328RDSTR006_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-Z3-FrontSide_BMZ3CPE00A_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2000,BMW,Z8,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2000/2000-BMW-Z8-FrontSide_BMZ8-001_505x375.jpg?interpolation=high-quality&downsize=391:*'}
