year,make,model,body_style(s),image_source(s)
2009,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-MDX-FrontSide_ATMDX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-RDX-FrontSide_ATRDX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,RL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-RL-FrontSide_ACRL091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,TL,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-TL-FrontSide_ACTL091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,TSX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-TSX-FrontSide_ACTSX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png', 'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}"
2009,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png', 'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}"
2009,Aston Martin,Vantage,"['Convertible', 'Coupe']","{'Convertible': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png', 'Coupe': 'https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png'}"
2009,Audi,A3,['Wagon'],{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A3-FrontSide_AUA3091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,A4,"['Convertible', 'Wagon', 'Sedan']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-FrontSide_AUA4081_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-Side_AUA4WAG093_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-FrontSide_AUA4CNV091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,Audi,A5,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A5-FrontSide_AUA5091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A6-FrontSide_AUA6091_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A6-FrontSide_AUA6W091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2009,Audi,A8,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5663/2009-Audi-A8-front-angle3_5663_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,Q5,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-Q5-FrontSide_AQQ5091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,Q7,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-Q7-FrontSide_AQQ7091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,R8,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-R8-RearSide_AUR8092_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,S4,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/5594/2009-Audi-S4-front-angle3_5594_089_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,S5,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-S5-FrontSide_AUS5091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,S6,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-S6-FrontSide_AUS6091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
