year,make,model,body_style(s),image_source(s)
2019,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/13221/2019-Acura-ILX-360SpinFrame_13221_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-MDX-FrontSide_ATMDX1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,MDX Sport Hybrid,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-MDX%20Sport%20Hybrid-FrontSide_ATMDXSH1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11810/2019-Acura-NSX-360SpinFrame_11810_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Acura-RDX-FrontSide_ATRDX1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Acura,RLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12480/2019-Acura-RLX-360SpinFrame_12480_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,RLX Sport Hybrid,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12568/2019-Acura-RLX%20Sport%20Hybrid-360SpinFrame_12568_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Acura,TLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12057/2019-Acura-TLX-360SpinFrame_12057_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Alfa Romeo,4C Spider,['Convertible'],{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2019/2019-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CS1901_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2019,Alfa Romeo,Giulia,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12453/2019-Alfa%20Romeo-Giulia-360SpinFrame_12453_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2019,Alfa Romeo,Stelvio,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12164/2019-Alfa%20Romeo-Stelvio-360SpinFrame_12164_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
