year,make,model,body_style,image_src
2002,Acura,CL,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/cl/2002/oem/2002_acura_cl_coupe_32_fq_oem_1_500.jpg
2002,Acura,MDX,"[""SUV""]",https://media.ed.edmunds-media.com/acura/mdx/2002/oem/2002_acura_mdx_4dr-suv_touring_fq_oem_2_500.jpg
2002,Acura,NSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/nsx/2002/oem/2002_acura_nsx_coupe_base_s_oem_1_500.jpg
2002,Acura,RL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/rl/2002/oem/2002_acura_rl_sedan_35_fq_oem_1_500.jpg
2002,Acura,RSX,"[""Coupe""]",https://media.ed.edmunds-media.com/acura/rsx/2002/oem/2002_acura_rsx_2dr-hatchback_base_fq_oem_1_500.jpg
2002,Acura,TL,"[""Sedan""]",https://media.ed.edmunds-media.com/acura/tl/2002/oem/2002_acura_tl_sedan_32_fq_oem_2_500.jpg
2002,Audi,A4,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/audi/a4/2002/oem/2002_audi_a4_sedan_18t_fq_oem_1_500.jpg
2002,Audi,A6,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/a6/2000/oem/2000_audi_a6_sedan_42-quattro_fq_oem_1_500.jpg
2002,Audi,A8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/a8/2000/oem/2000_audi_a8_sedan_quattro_s_oem_1_500.jpg
2002,Audi,allroad,"[""Wagon""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Audi,S4,"[""Wagon"", ""Sedan""]",https://media.ed.edmunds-media.com/audi/s4/2000/oem/2000_audi_s4_sedan_quattro_fq_oem_2_500.jpg
2002,Audi,S6,"[""Wagon""]",https://media.ed.edmunds-media.com/audi/s6/2002/oem/2002_audi_s6_wagon_avant-quattro_fq_oem_1_500.jpg
2002,Audi,S8,"[""Sedan""]",https://media.ed.edmunds-media.com/audi/s8/2002/oem/2002_audi_s8_sedan_quattro_fq_oem_2_500.jpg
2002,Audi,TT,"[""Hatchback"", ""Convertible""]",https://media.ed.edmunds-media.com/audi/tt/2000/oem/2000_audi_tt_coupe_base_fq_oem_1_500.jpg
2002,BMW,3 Series,"[""Sedan"", ""Coupe"", ""Convertible"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/3-series/2002/oem/2002_bmw_3-series_sedan_330i_fq_oem_1_500.jpg
2002,BMW,5 Series,"[""Sedan"", ""Wagon""]",https://media.ed.edmunds-media.com/bmw/5-series/2001/oem/2001_bmw_5-series_sedan_525i_fq_oem_1_500.jpg
2002,BMW,7 Series,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/7-series/2002/oem/2002_bmw_7-series_sedan_745i_fq_oem_3_500.jpg
2002,BMW,M,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/bmw/m/2000/oem/2000_bmw_m_convertible_base_fq_oem_2_500.jpg
2002,BMW,M3,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/m3/2001/oem/2001_bmw_m3_convertible_base_s_oem_1_500.jpg
2002,BMW,M5,"[""Sedan""]",https://media.ed.edmunds-media.com/bmw/m5/2000/oem/2000_bmw_m5_sedan_base_s_oem_1_500.jpg
2002,BMW,X5,"[""SUV""]",https://media.ed.edmunds-media.com/bmw/x5/2002/oem/2002_bmw_x5_4dr-suv_30i_fq_oem_1_500.jpg
2002,BMW,Z3,"[""Convertible"", ""Coupe""]",https://media.ed.edmunds-media.com/bmw/z3/2001/oem/2001_bmw_z3_convertible_30i_fq_oem_1_500.jpg
2002,BMW,Z8,"[""Convertible""]",https://media.ed.edmunds-media.com/bmw/z8/2000/oem/2000_bmw_z8_convertible_base_fq_oem_2_500.jpg
2002,Buick,Century,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/century/2002/oem/2002_buick_century_sedan_limited_fq_oem_1_500.jpg
2002,Buick,LeSabre,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/lesabre/2000/oem/2000_buick_lesabre_sedan_limited_fq_oem_4_500.jpg
2002,Buick,Park Avenue,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/park-avenue/1999/oem/1999_buick_park-avenue_sedan_ultra_fq_oem_2_500.jpg
2002,Buick,Regal,"[""Sedan""]",https://media.ed.edmunds-media.com/buick/regal/2002/oem/2002_buick_regal_sedan_ls_fq_oem_1_500.jpg
2002,Buick,Rendezvous,"[""SUV""]",https://media.ed.edmunds-media.com/buick/rendezvous/2002/oem/2002_buick_rendezvous_4dr-suv_cx_fq_oem_3_500.jpg
2002,Cadillac,DeVille,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/deville/2002/oem/2002_cadillac_deville_sedan_base_fq_oem_1_500.jpg
2002,Cadillac,Eldorado,"[""Coupe""]",https://media.ed.edmunds-media.com/cadillac/eldorado/2000/oem/2000_cadillac_eldorado_coupe_etc_s_oem_1_500.jpg
2002,Cadillac,Escalade,"[""SUV""]",https://media.ed.edmunds-media.com/cadillac/escalade/2002/oem/2002_cadillac_escalade_4dr-suv_base_s_oem_1_500.jpg
2002,Cadillac,Escalade EXT,"[""Pickup""]",https://media.ed.edmunds-media.com/cadillac/escalade-ext/2002/oem/2002_cadillac_escalade-ext_crew-cab-pickup_base_s_oem_1_500.jpg
2002,Cadillac,Seville,"[""Sedan""]",https://media.ed.edmunds-media.com/cadillac/seville/2001/oem/2001_cadillac_seville_sedan_sts_s_oem_1_500.jpg
2002,Chevrolet,Astro Cargo,"[""Van/Minivan""]",https://media.ed.edmunds-media.com/chevrolet/astro-cargo/2001/oem/2001_chevrolet_astro-cargo_cargo-minivan_base_fq_oem_1_500.jpg
2002,Chevrolet,Astro Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Avalanche 1500,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Avalanche 2500,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Blazer,"[""SUV""]",https://media.ed.edmunds-media.com/chevrolet/blazer/2000/oem/2000_chevrolet_blazer_2dr-suv_ls_s_oem_1_500.jpg
2002,Chevrolet,Camaro,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/chevrolet/camaro/2002/oem/2002_chevrolet_camaro_2dr-hatchback_base_fq_oem_1_500.jpg
2002,Chevrolet,Cavalier,"[""Sedan"", ""Coupe""]",https://media.ed.edmunds-media.com/chevrolet/cavalier/2000/oem/2000_chevrolet_cavalier_coupe_base_s_oem_1_500.jpg
2002,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]",https://media.ed.edmunds-media.com/chevrolet/corvette/2000/oem/2000_chevrolet_corvette_convertible_base_fq_oem_1_500.jpg
2002,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Express 3500 Passenger,"[""Van/Minivan""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Impala,"[""Sedan""]",https://media.ed.edmunds-media.com/chevrolet/impala/2001/oem/2001_chevrolet_impala_sedan_base_s_oem_1_500.jpg
2002,Chevrolet,Malibu,"[""Sedan""]",https://media.ed.edmunds-media.com/chevrolet/malibu/2000/oem/2000_chevrolet_malibu_sedan_ls_s_oem_1_500.jpg
2002,Chevrolet,Monte Carlo,"[""Coupe""]",https://media.ed.edmunds-media.com/chevrolet/monte-carlo/2002/oem/2002_chevrolet_monte-carlo_coupe_ls_fq_oem_1_500.jpg
2002,Chevrolet,Prizm,"[""Sedan""]",https://media.ed.edmunds-media.com/chevrolet/prizm/1999/oem/1999_chevrolet_prizm_sedan_lsi_fq_oem_1_500.jpg
2002,Chevrolet,S10 Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,S10 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,S10 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 1500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 1500 HD Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 1500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 2500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 2500 HD Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 2500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 3500 Crew Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 3500 Extended Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Silverado 3500 Regular Cab,"[""Pickup""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
2002,Chevrolet,Suburban 1500,"[""SUV""]",https://www.autotechemporium.com/frontend/assets/images/placeholder/inventory-full-placeholder.png
