year,make,model,body_style(s),trim(s),image_source(s)
1996,Acura,Integra,"['Sedan', 'Hatchback']","{'Sedan': {'RS Sedan 4D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'GS-R Sedan 4D': {'Horsepower': '170 @ 7600 rpm HP', 'Engine': '4-Cyl, VTEC, 1.8 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, 'LS Sedan 4D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Special Edition Sedan 4D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}, 'Hatchback': {'GS-R Sport Coupe 2D': {'Horsepower': '170 @ 7600 rpm HP', 'Engine': '4-Cyl, VTEC, 1.8 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 4'}, 'LS Sport Coupe 2D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 4'}, 'RS Sport Coupe 2D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 4'}, 'Special Edition Coupe 2D': {'Horsepower': '142 @ 6300 rpm HP', 'Engine': '4-Cyl, 1.8 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-Integra-Side_ACINTLSSED961_506x374.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-Integra-FrontSide_ACINTLSCPE962_506x357.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Acura,NSX,"['Coupe', 'Convertible']","{'Convertible': {'NSX-T Targa 2D': {'Horsepower': '252 @ 6600 rpm HP', 'Engine': 'V6, VTEC, 3.0 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'Sport Coupe 2D': {'Horsepower': '252 @ 6600 rpm HP', 'Engine': 'V6, VTEC, 3.0 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-NSX-FrontSide_ACNSXT962_506x367.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-NSX-Side_ACNSX961_506x366.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Acura,RL,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '210 @ 5200 rpm HP', 'Engine': 'V6, 3.5 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-RL-FrontSide_ACRL-963_506x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,Acura,SLX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '190 @ 5600 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-SLX-FrontSide_ATSLX961_506x374.jpg?interpolation=high-quality&downsize=391:*'}
1996,Acura,TL,['Sedan'],"{'Sedan': {'3.2 Sedan 4D': {'Horsepower': '200 @ 5300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '2.5 Sedan 4D': {'Horsepower': '176 @ 6300 rpm HP', 'Engine': '5-Cyl, 2.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Acura-TL-FrontSide_ACTL25962_506x346.jpg?interpolation=high-quality&downsize=391:*'}
1996,Audi,A4,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Audi-A4-FrontSide_AUA4-961_506x348.jpg?interpolation=high-quality&downsize=391:*'}
1996,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': {'Sedan 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'Wagon 4D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 7'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Audi-A6-FrontSide_AUA6-962_506x358.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Audi-A6-FrontSide_AUA6WAG961_506x351.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Audi,Cabriolet,['Convertible'],"{'Convertible': {'Convertible 2D': {'Horsepower': '172 @ 5500 rpm HP', 'Engine': 'V6, 2.8 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 4'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Audi-Cabriolet-FrontSide_AUCAB961_506x364.jpg?interpolation=high-quality&downsize=391:*'}
1996,BMW,3 Series,"['Hatchback', 'Coupe', 'Sedan', 'Convertible']","{'Sedan': {'328i Sedan 4D': {'Horsepower': '190 @ 5300 rpm HP', 'Engine': '6-Cyl, 2.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '318i Sedan 4D': {'Horsepower': '138 @ 6000 rpm HP', 'Engine': '4-Cyl, 1.9 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'328i Convertible 2D': {'Horsepower': '190 @ 5300 rpm HP', 'Engine': '6-Cyl, 2.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, '318i Convertible 2D': {'Horsepower': '138 @ 6000 rpm HP', 'Engine': '4-Cyl, 1.9 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 4'}}, 'Hatchback': {'318ti Hatchback Coupe 2D': {'Horsepower': '138 @ 6000 rpm HP', 'Engine': '4-Cyl, 1.9 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}, 'Coupe': {'318is Coupe 2D': {'Horsepower': '138 @ 6000 rpm HP', 'Engine': '4-Cyl, 1.9 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '328is Coupe 2D': {'Horsepower': '190 @ 5300 rpm HP', 'Engine': '6-Cyl, 2.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-3%20Series-FrontSide_BM318962_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-3%20Series-FrontSide_BM318CONV963_506x344.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-3%20Series-FrontSide_BM318TI961_506x355.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-3%20Series-FrontSide_BM318CPE964_506x350.jpg?interpolation=high-quality&downsize=391:*'}"
1996,BMW,7 Series,['Sedan'],"{'Sedan': {'750iL Sedan 4D': {'Horsepower': '322 @ 5000 rpm HP', 'Engine': 'V12, 5.4 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 5'}, '740iL Sedan 4D': {'Horsepower': '282 @ 5700 rpm HP', 'Engine': 'V8, 4.4 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-7%20Series-FrontSide_BM740961_506x374.jpg?interpolation=high-quality&downsize=391:*'}
