year,make,model,body_styles,trims,image_sources
2007,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '300 @ 6000 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Acura-MDX-FrontSide_ATMDX071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '240 @ 6000 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.3T', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Acura-RDX-FrontSide_ATRDX071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Acura,RL,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Acura-RL-FrontSide_ACRL071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Acura,TL,['Sedan'],"{'Sedan': {'3.2 Sedan 4D': {'Horsepower': '258 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, 'Type-S Sedan 4D': {'Horsepower': '286 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Acura-TL-FrontSide_ACTL071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Acura,TSX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '205 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Acura-TSX-FrontSide_ACTSX071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Aston Martin,DB9,"['Convertible', 'Coupe']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '450 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '450 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '12 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Aston%20Martin-DB9-FrontSide_ARDB9CNV061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Aston%20Martin-DB9-FrontSide_ARDB9CPE0701_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2007,Aston Martin,Vantage,"['Convertible', 'Coupe']","{'Convertible': {'Roadster 2D': {'Horsepower': '380 @ 7000 rpm HP', 'Engine': 'V8, 4.3 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '380 @ 7000 rpm HP', 'Engine': 'V8, 4.3 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Aston%20Martin-Vantage-FrontSide_ARVANTR071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Aston%20Martin-Vantage-FrontSide_ARVANT071_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
2007,Audi,A3,['Wagon'],"{'Wagon': {'3.2 S-Line Quattro Wagon 4D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '2.0T Wagon 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}",{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A3-FrontSide_AUA3071_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2007,Audi,A4,"['Sedan', 'Wagon', 'Convertible']","{'Sedan': {'2.0T Quattro Sedan 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '3.2 Sedan 4D': {'Horsepower': '255 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.2 Quattro Sedan 4D': {'Horsepower': '255 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '2.0T Sedan 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'2.0T Avant Quattro Wagon 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '3.2 Avant Quattro Wagon 4D': {'Horsepower': '255 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'3.2 Quattro Cabriolet 2D': {'Horsepower': '255 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '2.0T Quattro Cabriolet 2D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, '2.0T Cabriolet 2D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A4-FrontSide_AUA4SED061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A4-FrontSide_AUA4WAG061_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A4-FrontSide_AUA4CN071_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2007,Audi,A6,"['Sedan', 'Wagon']","{'Sedan': {'4.2 Quattro Sedan 4D': {'Horsepower': '350 @ 6800 rpm HP', 'Engine': 'V8, 4.2 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}, '3.2 Sedan 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '3.2 Quattro Sedan 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'3.2 Avant Quattro Wagon 4D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A6-FrontSide_AUA6SED071_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2007/2007-Audi-A6-FrontSide_AUA6WAG071_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
