year,make,model,body_styles,trim_data,image_sources
2009,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '300 @ 6000 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-MDX-FrontSide_ATMDX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '240 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.3 Liter', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-RDX-FrontSide_ATRDX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,RL,['Sedan'],"{'Sedan': {'3.5 Sedan 4D': {'Horsepower': '300 @ 6300 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-RL-FrontSide_ACRL091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,TL,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-TL-FrontSide_ACTL091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Acura,TSX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '201 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Acura-TSX-FrontSide_ACTSX091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '470 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '470 @ 6000 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-DB9-FrontSide_ARDB9R091_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-DB9-FrontSide_ARDB9091_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2009,Aston Martin,DBS,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-DBS-FrontSide_ARDBSR091_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-DBS-FrontSide_ARDBS091_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2009,Aston Martin,Vantage,"['Convertible', 'Coupe']","{'Convertible': {'Roadster 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.3 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '420 @ 7300 rpm HP', 'Engine': 'V8, 4.3 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 2'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-Vantage-Side_ARVANR093_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Aston%20Martin-Vantage-FrontSide_ARVAN091_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2009,Audi,A3,['Wagon'],"{'Wagon': {'3.2 Quattro Wagon 4D': {'Horsepower': '250 @ 6300 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, '2.0T Wagon 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '2.0T Quattro Wagon 4D': {'Horsepower': '200 @ 5100 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}",{'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A3-FrontSide_AUA3091_505x375.jpg?interpolation=high-quality&downsize=391:*'}
2009,Audi,A4,"['Convertible', 'Wagon', 'Sedan']","{'Sedan': {'2.0T Quattro Sedan 4D': {'Horsepower': '211 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '3.2 Quattro Sedan 4D': {'Horsepower': '265 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, '2.0T Sedan 4D': {'Horsepower': '211 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'2.0T Avant Quattro Wagon 4D': {'Horsepower': '211 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'3.2 Quattro Special Edition Cabriolet 2D': {'Horsepower': '255 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, '2.0T Cabriolet 2D': {'Horsepower': '211 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 4'}, '2.0T Special Edition Cabriolet 2D': {'Horsepower': '200 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 4'}, '3.2 Quattro Cabriolet 2D': {'Horsepower': '265 @ 6500 rpm HP', 'Engine': 'V6, 3.2 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, '2.0T Quattro Cabriolet 2D': {'Horsepower': '211 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}, '2.0T Quattro Special Edition Cabriolet 2D': {'Horsepower': '200 @ 6000 rpm HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 4'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-FrontSide_AUA4081_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-Side_AUA4WAG093_505x375.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2009/2009-Audi-A4-FrontSide_AUA4CNV091_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
