year,make,model,body_styles,trim_data,image_sources
2014,Acura,ILX,['Sedan'],"{'Sedan': {'Hybrid Sedan 4D': {'Horsepower': '111 @ 5500 rpm HP', 'Engine': '4-Cyl, Hybrid, VTEC, 1.5L', 'Combined Fuel Economy': '38 MPG', 'Seating': 'Seats 5'}, '2.4L Sedan 4D': {'Horsepower': '201 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}, '2.0L Sedan 4D': {'Horsepower': '150 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, 2.0 Liter', 'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-ILX-FrontSide_ACILX141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,MDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'SH-AWD Sport Utility 4D': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-MDX-FrontSide_ATMDX141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,RDX,['SUV'],"{'SUV': {'Sport Utility 4D': {'Horsepower': '273 @ 6200 rpm HP', 'Engine': 'V6, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-RDX-FrontSide_ATRDX141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,RLX,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-RLX-FrontSide_ACRLX141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD Sedan 4D': {'Horsepower': '310 @ 6500 rpm HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5L', 'Combined Fuel Economy': '30 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-RLX%20Sport%20Hybrid-FrontSide_ACRLXSHH1401_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,TL,['Sedan'],"{'Sedan': {'SH-AWD Sedan 4D': {'Horsepower': '305 @ 6300 rpm HP', 'Engine': 'V6, VTEC, 3.7 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}, 'Special Edition Sedan 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '280 @ 6200 rpm HP', 'Engine': 'V6, VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-TL-FrontSide_ACTLSE141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Acura,TSX,"['Sedan', 'Wagon']","{'Sedan': {'Sedan 4D': {'Horsepower': '201 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}, 'Wagon': {'Wagon 4D': {'Horsepower': '201 @ 7000 rpm HP', 'Engine': '4-Cyl, VTEC, 2.4 Liter', 'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-TSX-FrontSide_ACTSX141_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Acura-TSX-FrontSide_ACTSXW141_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2014,Aston Martin,DB9,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '510 @ 6500 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Aston%20Martin-DB9-FrontSide_ARDB9R141_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Aston%20Martin-DB9-FrontSide_ARDB9141_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
2014,Aston Martin,Rapide S,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '550 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Aston%20Martin-Rapide%20S-FrontSide_ARRAPS141_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2014,Aston Martin,Vanquish,"['Coupe', 'Convertible']","{'Convertible': {'Volante Convertible 2D': {'Horsepower': '565 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Coupe 2D': {'Horsepower': '565 @ 6750 rpm HP', 'Engine': 'V12, 6.0 Liter', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Aston%20Martin-Vanquish-FrontSide_ARVANQV141_640x480.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2014/2014-Aston%20Martin-Vanquish-FrontSide_ARVANQ141_640x480.jpg?interpolation=high-quality&downsize=391:*'}"
